,ID,Gender,Age,Your Industry,Occupation,2nd Occupation,Job Level,Income,State,Job Role Happiness,Highest Degree Completed,Marital Status,Sexual Satisfaction,Sex Frequency,Orgasm Frequency,Orgasm Faking,Sexual Performance,Excercise Frequency,Desirable Level,Better Sex Before Graduating
214,13363746496,Female,30-44,"Construction, Machinery, and Homes",Laborer,,Entry Level,"$10,000-$24,999",Texas,Very happy,High School,Married or domestic partnership,Very satisfied,Every day,Sometimes,Never,Far above average,I never work out or exercise,Extremely desirable,Neither agree nor disagree
215,13363745503,Female,> 60,Airlines & Aerospace (including Defense),Server,,Other (please specify),"$50,000-$74,999",Texas,Neither happy nor unhappy,Bachelor's Degree,Widowed,Neither satisfied nor dissatisfied,Less than once a month,Never,Sometimes,Below average,I never work out or exercise,Not so desirable,Disagree
216,13363744479,Male,45-60,Entertainment & Leisure,Marketing specialist,,Entry Level,"$50,000-$74,999",Texas,Very happy,Bachelor's Degree,Married or domestic partnership,Dissatisfied,Less than once a month,Always,Never,Below average,Once per week,Not so desirable,Agree
217,13363741973,Female,30-44,Healthcare & Pharmaceuticals,Operations manager, Forecast Analyst,Senior Management,"$50,000-$74,999",Ohio,Somewhat happy,High School,Married or domestic partnership,Satisfied,A few times a month,Always,Rarely,Above average,Once per week,Somewhat desirable,Neither agree nor disagree
218,13363741704,Female,> 60,Real Estate,Marketing specialist,,Intermediate,"$50,000-$74,999",Florida,Very happy,Bachelor's Degree,Married or domestic partnership,Satisfied,About once a week,Usually,Rarely,Above average,Several times per week,Somewhat desirable,Disagree
219,13363737336,Male,> 60,I am currently not employed,Police officer,,Other (please specify),"$75,000-$99,999",Pennsylvania,Very happy,Master's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,Less than once a month,Always,Never,Average,Less than once per week,Somewhat desirable,Strongly agree
220,13363738561,Male,18-29,Advertising & Marketing,Food preparation worker,,Senior Management,"$25,000-$49,999",Michigan,Very happy,High School,"Single, never married",Very satisfied,Every day,Always,Usually,Far above average,Every day of the week,Very desirable,Strongly agree
221,13363737309,Female,18-29,Entertainment & Leisure,Server,,Intermediate,"$0-$9,999",California,Neither happy nor unhappy,High School,"Single, never married",Very satisfied,About once a week,Rarely,Sometimes,Far above average,Several times per week,Very desirable,Neither agree nor disagree
222,13363735763,Female,> 60,Education,Server,,Intermediate,"$200,000+",Florida,Somewhat happy,Bachelor's Degree,Widowed,Satisfied,A few times a month,Sometimes,Sometimes,Above average,Several times per week,Somewhat desirable,Somewhat disagree
223,13363721880,Female,30-44,Agriculture,Janitor,,Senior Management,"$10,000-$24,999",Alaska,Neither happy nor unhappy,High School,Divorced,Satisfied,A few times a month,Sometimes,Rarely,Average,Once per week,Somewhat desirable,Somewhat agree
224,13363721062,Female,45-60,"Telecommunications, Technology, Internet & Electronics",Operations manager,,Entry Level,"$50,000-$74,999",Wyoming,Somewhat happy,High School,Married or domestic partnership,Very satisfied,A few times a month,Always,Never,Average,Several times per week,Not at all desirable,Somewhat agree
225,13363715908,Female,18-29,Food & Beverages,Retail sales associate,,Entry Level,"$50,000-$74,999",Florida,Very happy,High School,"Single, never married",Very satisfied,Once a month,Sometimes,Never,Average,Less than once per week,Extremely desirable,Neither agree nor disagree
226,13363715288,Female,45-60,I am currently not employed,Software developer,,Other (please specify),"$0-$9,999",Michigan,Somewhat unhappy,Bachelor's Degree,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Rarely,Never,Average,Once per week,Somewhat desirable,Neither agree nor disagree
227,13363713805,Female,18-29,Food & Beverages,Server,,Middle Management,"$10,000-$24,999",South Carolina,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Dissatisfied,A few times a month,Usually,Never,Above average,Once per week,Very desirable,Strongly agree
228,13363713545,Male,30-44,Education,Server,,Middle Management,"$200,000+",Arizona,Neither happy nor unhappy,Bachelor's Degree,Divorced,Satisfied,A few times a week,Usually,Usually,Average,Several times per week,Not so desirable,Strongly agree
229,13363712370,Female,18-29,Education,Customer service representative, Teacher,Intermediate,"$50,000-$74,999",Florida,Somewhat happy,Master's Degree,Married or domestic partnership,Satisfied,A few times a week,Always,Rarely,Above average,Several times per week,Somewhat desirable,Somewhat agree
230,13363710956,Female,45-60,Education,Customer service representative,,Owner/Executive/C-Level,"$25,000-$49,999",Kansas,Somewhat happy,Trade/Vocation School,Divorced,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Never,Average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree
231,13363710381,Female,30-44,Entertainment & Leisure,Office clerk,,Entry Level,"$25,000-$49,999",Maryland,Neither happy nor unhappy,High School,"Single, never married",Dissatisfied,Less than once a month,Sometimes,Never,Average,Several times per week,Not so desirable,Disagree
232,13363709659,Female,45-60,I am currently not employed,Laborer,,Other (please specify),"$25,000-$49,999",Missouri,Neither happy nor unhappy,High School,Divorced,Very dissatisfied,Less than once a month,Always,Never,Above average,Once per week,Somewhat desirable,Disagree
233,13363709487,Male,45-60,Food & Beverages,Truck Driver,,Other (please specify),"$75,000-$99,999",New Jersey,Very happy,High School,Married or domestic partnership,Satisfied,About once a week,Always,Never,Above average,I never work out or exercise,Somewhat desirable,Disagree
234,13363709324,Female,45-60,Retail & Consumer Durables,Customer service representative,,Entry Level,"$10,000-$24,999",California,Neither happy nor unhappy,High School,Divorced,Dissatisfied,Less than once a month,Sometimes,Rarely,Average,Several times per week,Not so desirable,Disagree
235,13363708688,Female,18-29,Healthcare & Pharmaceuticals,Administrative assistant,,Intermediate,Prefer not to answer,Pennsylvania,Somewhat happy,Bachelor's Degree,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Usually,Sometimes,Average,Less than once per week,Somewhat desirable,Somewhat disagree
236,13363707289,Female,18-29,Advertising & Marketing,Marketing specialist,,Intermediate,"$10,000-$24,999",Michigan,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Satisfied,A few times a month,Always,Never,Average,Once per week,Not so desirable,Disagree
237,13363704075,Female,45-60,Insurance,Customer service representative,,Entry Level,"$0-$9,999",California,Somewhat happy,Master's Degree,Widowed,Very satisfied,Every day,Usually,Sometimes,Above average,Several times per week,Very desirable,Disagree
238,13363700406,Female,> 60,"Construction, Machinery, and Homes",Operations manager,,Owner/Executive/C-Level,"$25,000-$49,999",Florida,Very happy,Bachelor's Degree,Married or domestic partnership,Very satisfied,Every day,Always,Rarely,Average,Less than once per week,Somewhat desirable,Strongly disagree
239,13363698896,Male,30-44,"Telecommunications, Technology, Internet & Electronics",Software developer, Business consultant,Middle Management,"$75,000-$99,999",Virginia,Somewhat unhappy,High School,Married or domestic partnership,Satisfied,A few times a month,Always,Never,Average,Once per week,Very desirable,Strongly disagree
240,13363691833,Female,> 60,Agriculture,Cashier,,Senior Management,"$0-$9,999",Alabama,Very happy,Some High School,"Single, never married",Satisfied,Every day,Always,Usually,Above average,Once per week,Very desirable,Agree
241,13363689258,Male,> 60,Advertising & Marketing,Marketing specialist, Radio Announcer,Other (please specify),"$50,000-$74,999",Alabama,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Very dissatisfied,Less than once a month,Sometimes,Never,Below average,I never work out or exercise,Somewhat desirable,Agree
242,13363688817,Female,> 60,I am currently not employed,Bookkeeper, Homemaker,Other (please specify),"$25,000-$49,999",Florida,Very happy,High School,Married or domestic partnership,Satisfied,A few times a month,Usually,Rarely,Average,Several times per week,Somewhat desirable,Somewhat disagree
243,13363686907,Male,30-44,Real Estate,Bookkeeper,,Intermediate,"$50,000-$74,999",Ohio,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Neither satisfied nor dissatisfied,About once a week,Always,Never,Average,Several times per week,Somewhat desirable,Somewhat agree
244,13363686491,Male,30-44,"Construction, Machinery, and Homes",Electrician,,Senior Management,"$100,000-$124,999",Arkansas,Somewhat happy,Trade/Vocation School,Married or domestic partnership,Neither satisfied nor dissatisfied,Every day,Always,Never,Far above average,Every day of the week,Extremely desirable,Strongly agree
245,13363684743,Male,30-44,"Telecommunications, Technology, Internet & Electronics",Software developer,,Senior Management,"$200,000+",Wisconsin,Very happy,Bachelor's Degree,Married or domestic partnership,Very satisfied,Every day,Always,Always,Far above average,Every day of the week,Extremely desirable,Strongly agree
246,13363683396,Female,30-44,Education,Server,,Intermediate,"$75,000-$99,999",Connecticut,Somewhat unhappy,Master's Degree,Married or domestic partnership,Satisfied,A few times a week,Sometimes,Sometimes,Average,Several times per week,Somewhat desirable,Somewhat disagree
247,13363681754,Female,18-29,Automotive,Laborer,,Middle Management,"$25,000-$49,999",New York,Somewhat happy,Bachelor's Degree,Divorced,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Usually,Average,Once per week,Somewhat desirable,Somewhat disagree
248,13363681746,Male,> 60,Advertising & Marketing,Marketing specialist,,Middle Management,"$25,000-$49,999",New Jersey,Very happy,Ph.D. or higher,Married or domestic partnership,Satisfied,About once a week,Always,Rarely,Average,Every day of the week,Somewhat desirable,Disagree
249,13363680907,Male,45-60,Manufacturing,Marketing specialist,,Owner/Executive/C-Level,"$200,000+",Maryland,Somewhat happy,Master's Degree,Married or domestic partnership,Dissatisfied,Less than once a month,Always,Never,Above average,Once per week,Somewhat desirable,Disagree
250,13363679480,Female,> 60,Finance & Financial Services,Office clerk, Tax Preparer,Intermediate,"$50,000-$74,999",Florida,Somewhat happy,Trade/Vocation School,Divorced,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Never,Average,Less than once per week,Somewhat desirable,Disagree
251,13363678602,Male,45-60,Government,Truck Driver,,Intermediate,"$50,000-$74,999",California,Somewhat unhappy,High School,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Usually,Never,Average,Less than once per week,Somewhat desirable,Somewhat agree
252,13363677689,Male,30-44,Healthcare & Pharmaceuticals,Lawyer,,Senior Management,"$75,000-$99,999",Massachusetts,Neither happy nor unhappy,Ph.D. or higher,Married or domestic partnership,Satisfied,Every day,Always,Never,Average,Once per week,Somewhat desirable,Neither agree nor disagree
253,13363674524,Female,45-60,Entertainment & Leisure,Office clerk,,Intermediate,"$10,000-$24,999",North Carolina,Neither happy nor unhappy,Bachelor's Degree,Divorced,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Usually,Above average,Less than once per week,Not at all desirable,Neither agree nor disagree
254,13363669222,Male,30-44,Retail & Consumer Durables,Operations manager,,Intermediate,"$100,000-$124,999",Florida,Somewhat unhappy,Bachelor's Degree,"Single, never married",Neither satisfied nor dissatisfied,About once a week,Always,Never,Average,Once per week,Somewhat desirable,Somewhat agree
255,13363665875,Male,30-44,I am currently not employed,Construction worker,,Other (please specify),"$0-$9,999",Montana,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Always,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree
256,13363662755,Female,45-60,Healthcare & Pharmaceuticals,Medical assistant,,Entry Level,"$10,000-$24,999",Oklahoma,Neither happy nor unhappy,Trade/Vocation School,"Single, never married",Satisfied,Less than once a month,Never,Never,Far below average,I never work out or exercise,Not so desirable,Strongly agree
257,13363662481,Male,30-44,"Telecommunications, Technology, Internet & Electronics",Retail sales associate,,Intermediate,"$25,000-$49,999",Texas,Very happy,High School,Married or domestic partnership,Very satisfied,Every day,Always,Never,Far above average,Several times per week,Very desirable,Strongly agree
258,13363659822,Female,30-44,Transportation & Delivery,Administrative assistant,,Intermediate,"$50,000-$74,999",New York,Somewhat happy,High School,"Single, never married",Dissatisfied,Less than once a month,Never,Rarely,Average,Several times per week,Somewhat desirable,Strongly agree
259,13363659733,Male,> 60,Government,Police officer,,Senior Management,"$125,000-$149,999",South Carolina,Very happy,Master's Degree,Married or domestic partnership,Very satisfied,About once a week,Always,Never,Far above average,Every day of the week,Very desirable,Strongly disagree
260,13363657304,Male,45-60,Healthcare & Pharmaceuticals,Laborer, Personal trainer,Middle Management,Prefer not to answer,Florida,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,About once a week,Usually,Never,Above average,Several times per week,Not so desirable,Somewhat agree
261,13363655183,Male,30-44,Education,Janitor,,Middle Management,"$75,000-$99,999",Nevada,Very happy,Master's Degree,Married or domestic partnership,Satisfied,About once a week,Always,Never,Above average,I never work out or exercise,Very desirable,Strongly agree
262,13363652087,Female,45-60,Healthcare & Pharmaceuticals,Registered nurse,,Intermediate,"$25,000-$49,999",Alabama,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Very satisfied,Every day,Always,Never,Far above average,I never work out or exercise,Very desirable,Strongly disagree
263,13363651111,Male,45-60,Entertainment & Leisure,Customer service representative, DJ karaoke,Middle Management,"$75,000-$99,999",Indiana,Very happy,Bachelor's Degree,Married or domestic partnership,Dissatisfied,Less than once a month,Usually,Never,Average,I never work out or exercise,Not so desirable,Agree
264,13363650828,Female,18-29,Food & Beverages,Food preparation worker, Barista,Entry Level,"$10,000-$24,999",Minnesota,Very unhappy,High School,"Single, never married",Very dissatisfied,A few times a month,Never,Never,Above average,Less than once per week,Somewhat desirable,Disagree
265,13363650519,Female,18-29,Agriculture,Customer service representative,,Middle Management,"$25,000-$49,999",Delaware,Somewhat happy,Master's Degree,Married or domestic partnership,Very satisfied,Every day,Usually,Rarely,Above average,Several times per week,Extremely desirable,Strongly agree
266,13363650275,Male,30-44,"Telecommunications, Technology, Internet & Electronics",Software developer,,Intermediate,"$125,000-$149,999",Delaware,Somewhat happy,Master's Degree,Married or domestic partnership,Satisfied,About once a week,Sometimes,Sometimes,Average,Once per week,Somewhat desirable,Neither agree nor disagree
267,13363648611,Female,45-60,Transportation & Delivery,Laborer, Gig delivery driver,Entry Level,"$25,000-$49,999",California,Somewhat unhappy,Bachelor's Degree,"Single, never married",Very dissatisfied,Less than once a month,Never,Never,Average,Less than once per week,Not so desirable,Somewhat agree
268,13363648243,Male,> 60,Healthcare & Pharmaceuticals,Stocking associate,,Senior Management,"$10,000-$24,999",Colorado,Very happy,High School,Widowed,Very satisfied,Once a month,Never,Never,Far below average,I never work out or exercise,Not at all desirable,Strongly disagree
269,13363647552,Female,> 60,I am currently not employed,Retail sales associate,,Other (please specify),"$25,000-$49,999",Florida,Somewhat happy,Bachelor's Degree,"Single, never married",Satisfied,Less than once a month,Usually,Rarely,Average,Every day of the week,Very desirable,Neither agree nor disagree
270,13363647521,Male,45-60,Government,Bookkeeper,,Middle Management,"$75,000-$99,999",Ohio,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Dissatisfied,Once a month,Always,Never,Above average,Once per week,Somewhat desirable,Strongly agree
271,13363646037,Female,30-44,Retail & Consumer Durables,Cashier,,Middle Management,"$200,000+",New York,Neither happy nor unhappy,High School,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Every day of the week,Somewhat desirable,Neither agree nor disagree
272,13363643403,Male,30-44,Healthcare & Pharmaceuticals,Medical assistant,,Entry Level,"$25,000-$49,999",Illinois,Very happy,Bachelor's Degree,Married or domestic partnership,Dissatisfied,Less than once a month,Sometimes,Sometimes,Above average,Several times per week,Not so desirable,Strongly agree
273,13363641059,Female,18-29,I am currently not employed,Cashier,,Other (please specify),"$0-$9,999",Ohio,Neither happy nor unhappy,High School,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Usually,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree
274,13363639271,Male,45-60,Government,Mechanic,,Middle Management,"$75,000-$99,999",Mississippi,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,Once a month,Always,Never,Average,Less than once per week,Not so desirable,Agree
275,13363638569,Female,30-44,Business Support & Logistics,Retail sales associate,,Middle Management,"$10,000-$24,999",Texas,Somewhat happy,High School,Married or domestic partnership,Very satisfied,Every day,Usually,Rarely,Above average,I never work out or exercise,Very desirable,Somewhat disagree
276,13363637388,Male,18-29,Agriculture,Food preparation worker,,Senior Management,"$50,000-$74,999",Idaho,Neither happy nor unhappy,Master's Degree,Widowed,Neither satisfied nor dissatisfied,Once a month,Rarely,Rarely,Above average,Less than once per week,Not so desirable,Neither agree nor disagree
277,13363637318,Female,18-29,Entertainment & Leisure,Stocking associate,,Intermediate,"$100,000-$124,999",Massachusetts,Neither happy nor unhappy,Master's Degree,"Single, never married",Satisfied,About once a week,Usually,Rarely,Above average,Several times per week,Somewhat desirable,Somewhat agree
278,13363635796,Male,18-29,"Telecommunications, Technology, Internet & Electronics",Line supervisor,,Intermediate,"$25,000-$49,999",Wisconsin,Very unhappy,Bachelor's Degree,"Single, never married",Very dissatisfied,Every day,Sometimes,Never,Average,Several times per week,Not at all desirable,Neither agree nor disagree
279,13363633582,Female,30-44,Insurance,Office clerk, Risk Management Specialist,Intermediate,"$10,000-$24,999",Louisiana,Neither happy nor unhappy,Trade/Vocation School,"Single, never married",Very dissatisfied,Once a month,Never,Always,Above average,Once per week,Not so desirable,Strongly agree
280,13363631483,Male,18-29,Finance & Financial Services,Administrative assistant,,Middle Management,"$75,000-$99,999",Illinois,Somewhat happy,Master's Degree,"Single, never married",Satisfied,A few times a month,Always,Never,Far above average,Once per week,Extremely desirable,Strongly disagree
281,13363627192,Female,30-44,Healthcare & Pharmaceuticals,Registered nurse,,Intermediate,"$10,000-$24,999",California,Somewhat happy,Ph.D. or higher,"Single, never married",Neither satisfied nor dissatisfied,About once a week,Usually,Sometimes,Average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree
282,13363625395,Female,30-44,Transportation & Delivery,Truck Driver,,Intermediate,"$75,000-$99,999",Texas,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Neither satisfied nor dissatisfied,Once a month,Sometimes,Sometimes,Below average,Less than once per week,Not at all desirable,Somewhat disagree
283,13363625113,Female,45-60,Healthcare & Pharmaceuticals,Registered nurse,,Entry Level,"$0-$9,999",New Jersey,Somewhat happy,Trade/Vocation School,"Single, never married",Satisfied,Once a month,Usually,Never,Above average,Once per week,Somewhat desirable,Somewhat agree
284,13363625036,Male,30-44,Government,Police officer, Firefighter,Middle Management,"$50,000-$74,999",Alabama,Very happy,Bachelor's Degree,Married or domestic partnership,Satisfied,About once a week,Always,Never,Average,Less than once per week,Not at all desirable,Strongly agree
285,13363624591,Male,18-29,Automotive,Administrative assistant,,Intermediate,"$75,000-$99,999",Florida,Neither happy nor unhappy,High School,"Single, never married",Very dissatisfied,Less than once a month,Usually,Never,Average,Several times per week,Not so desirable,Neither agree nor disagree
286,13363621171,Male,45-60,Manufacturing,Operations manager,,Middle Management,"$25,000-$49,999",Illinois,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Satisfied,A few times a week,Always,Never,Far above average,Several times per week,Very desirable,Neither agree nor disagree
287,13363619675,Female,45-60,Food & Beverages,Bartender,,Entry Level,"$10,000-$24,999",California,Somewhat happy,High School,,Dissatisfied,Less than once a month,Usually,Sometimes,Above average,Several times per week,Very desirable,Agree
288,13363619029,Female,> 60,I am currently not employed,Stocking associate,,Other (please specify),"$10,000-$24,999",Illinois,Neither happy nor unhappy,High School,Widowed,Neither satisfied nor dissatisfied,Less than once a month,Rarely,Never,Far below average,I never work out or exercise,Not at all desirable,Neither agree nor disagree
289,13363617135,Male,> 60,Healthcare & Pharmaceuticals,Registered nurse,,Intermediate,"$150,000-$174,999",Maryland,Somewhat happy,Master's Degree,Married or domestic partnership,Very satisfied,About once a week,Always,Never,Above average,Several times per week,Very desirable,Disagree
290,13363615973,Male,18-29,Automotive,Mechanic,,Senior Management,"$50,000-$74,999",Georgia,Somewhat happy,Trade/Vocation School,"Single, never married",Satisfied,A few times a week,Always,Never,Above average,Several times per week,Not so desirable,Strongly agree
291,13363615542,Male,> 60,Healthcare & Pharmaceuticals,Registered nurse,,Senior Management,"$75,000-$99,999",Nevada,Neither happy nor unhappy,Ph.D. or higher,Married or domestic partnership,Very dissatisfied,Less than once a month,Usually,Rarely,Above average,Several times per week,Somewhat desirable,Neither agree nor disagree
292,13363615118,Male,18-29,Advertising & Marketing,Marketing specialist,,Entry Level,"$10,000-$24,999",Minnesota,Somewhat happy,Bachelor's Degree,"Single, never married",Dissatisfied,Once a month,Rarely,Never,Average,Less than once per week,Somewhat desirable,Disagree
293,13363614421,Male,45-60,Healthcare & Pharmaceuticals,Operations manager,,Senior Management,"$200,000+",Nevada,Very happy,Bachelor's Degree,"Single, never married",Satisfied,About once a week,Always,Never,Above average,Every day of the week,Very desirable,Disagree
294,13363611062,Male,30-44,Retail & Consumer Durables,Laborer,,Owner/Executive/C-Level,"$10,000-$24,999",California,Very happy,High School,"Single, never married",Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Never,Above average,I never work out or exercise,Somewhat desirable,Agree
295,13363609708,Male,30-44,Healthcare & Pharmaceuticals,Customer service representative,,Intermediate,Prefer not to answer,New York,Neither happy nor unhappy,High School,"Single, never married",Neither satisfied nor dissatisfied,About once a week,Never,Never,Far below average,I never work out or exercise,Not so desirable,Neither agree nor disagree
296,13363606972,Female,> 60,I am currently not employed,Customer service representative, Entrepreneur,Owner/Executive/C-Level,"$75,000-$99,999",Florida,Very happy,Trade/Vocation School,Married or domestic partnership,Satisfied,A few times a week,Usually,Never,Average,Several times per week,Very desirable,Disagree
297,13363606527,Female,> 60,I am currently not employed,Administrative assistant,,Other (please specify),"$50,000-$74,999",North Carolina,Very happy,High School,Married or domestic partnership,Very satisfied,A few times a week,Always,Never,Above average,Several times per week,Very desirable,Strongly disagree
298,13363603999,Male,18-29,Healthcare & Pharmaceuticals,Retail sales associate,,Entry Level,"$100,000-$124,999",Texas,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Satisfied,A few times a month,Always,Never,Average,Several times per week,Very desirable,Disagree
299,13363603350,Male,30-44,Education,Operations manager,,Middle Management,"$25,000-$49,999",Missouri,Somewhat unhappy,Master's Degree,Married or domestic partnership,Satisfied,A few times a month,Usually,Never,Average,Less than once per week,Not so desirable,Strongly agree
300,13363601305,Male,18-29,Healthcare & Pharmaceuticals,Customer service representative,,Entry Level,Prefer not to answer,Kentucky,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Very dissatisfied,Less than once a month,Never,Never,Average,I never work out or exercise,Not so desirable,Neither agree nor disagree
301,13363599892,Female,45-60,I am currently not employed,Retail sales associate,,Intermediate,"$50,000-$74,999",Alabama,Neither happy nor unhappy,High School,Married or domestic partnership,Satisfied,About once a week,Usually,Sometimes,Average,Less than once per week,Not so desirable,Neither agree nor disagree
302,13363599617,Male,30-44,"Construction, Machinery, and Homes",Office clerk, Human resources,Intermediate,Prefer not to answer,New York,Somewhat happy,Master's Degree,Married or domestic partnership,Satisfied,Once a month,Always,Never,Average,Several times per week,Somewhat desirable,Agree
303,13363592010,Male,45-60,Transportation & Delivery,Truck Driver,,Entry Level,"$75,000-$99,999",California,Somewhat happy,Bachelor's Degree,Divorced,Satisfied,Once a month,Always,Never,Above average,Several times per week,Somewhat desirable,Neither agree nor disagree
304,13363587125,Female,18-29,Automotive,Cashier,,Entry Level,"$50,000-$74,999",Pennsylvania,Somewhat happy,High School,Married or domestic partnership,Very satisfied,A few times a week,Usually,Rarely,Far above average,Several times per week,Very desirable,Disagree
305,13363582995,Male,30-44,Entertainment & Leisure,Operations manager,,Middle Management,"$125,000-$149,999",California,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Satisfied,A few times a week,Usually,Rarely,Above average,Once per week,Very desirable,Somewhat agree
306,13363582514,Male,18-29,Food & Beverages,Food preparation worker,,Middle Management,"$100,000-$124,999",New Mexico,Somewhat happy,Bachelor's Degree,"Single, never married",Neither satisfied nor dissatisfied,About once a week,Always,Never,Above average,Several times per week,Somewhat desirable,Somewhat disagree
307,13363581046,Male,45-60,Transportation & Delivery,Operations manager,,Intermediate,"$50,000-$74,999",Michigan,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Very dissatisfied,Less than once a month,Usually,Rarely,Average,Once per week,Somewhat desirable,Disagree
308,13363575700,Female,45-60,Food & Beverages,Food preparation worker,,Senior Management,"$10,000-$24,999",Kansas,Very happy,High School,Married or domestic partnership,Very satisfied,Less than once a month,Never,Never,Far below average,Once per week,Not at all desirable,Strongly disagree
309,13363573410,Female,45-60,Education,Laborer, Educator,Senior Management,"$50,000-$74,999",New York,Very happy,Bachelor's Degree,Divorced,Satisfied,About once a week,,Never,Average,Several times per week,Very desirable,Neither agree nor disagree
310,13363570815,Female,18-29,"Utilities, Energy, and Extraction",Construction worker, Engineer,Entry Level,"$50,000-$74,999",Alabama,Somewhat happy,Bachelor's Degree,"Single, never married",Very satisfied,A few times a week,Always,Never,Above average,Less than once per week,Somewhat desirable,Strongly agree
311,13363570573,Female,18-29,Retail & Consumer Durables,Retail sales associate,,Entry Level,"$100,000-$124,999",Indiana,Somewhat happy,High School,"Single, never married",Very satisfied,A few times a week,Rarely,Rarely,Above average,I never work out or exercise,Very desirable,Neither agree nor disagree
312,13363570443,Female,30-44,Healthcare & Pharmaceuticals,Laborer, Biller,Entry Level,"$50,000-$74,999",Arkansas,Very happy,High School,Married or domestic partnership,Neither satisfied nor dissatisfied,A few times a month,Never,Always,Below average,I never work out or exercise,Not at all desirable,Neither agree nor disagree
313,13363566302,Female,18-29,Education,Administrative assistant,,Entry Level,"$25,000-$49,999",Arizona,Somewhat happy,High School,"Single, never married",Dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Less than once per week,Somewhat desirable,Somewhat agree
314,13363564216,Female,30-44,Healthcare & Pharmaceuticals,Medical assistant,,Middle Management,"$100,000-$124,999",California,,Ph.D. or higher,,Neither satisfied nor dissatisfied,Less than once a month,,,Average,,,
315,13363564130,Female,30-44,Education,Software developer,,Middle Management,"$50,000-$74,999",Illinois,Very happy,High School,Divorced,Very satisfied,Every day,Always,Never,Average,Several times per week,Very desirable,Strongly disagree
316,13363563857,Female,45-60,Nonprofit,Customer service representative, Case management,Other (please specify),"$25,000-$49,999",New Jersey,Somewhat happy,Master's Degree,"Single, never married",Very satisfied,A few times a week,Always,Sometimes,Average,Several times per week,Not at all desirable,Strongly agree
317,13363562853,Male,> 60,I am currently not employed,Operations manager,,Other (please specify),"$25,000-$49,999",Alabama,Very happy,High School,Married or domestic partnership,Satisfied,Less than once a month,Always,Never,Below average,I never work out or exercise,Not so desirable,Neither agree nor disagree
318,13363557821,Male,> 60,Insurance,Software developer,,Middle Management,"$100,000-$124,999",New York,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Several times per week,Somewhat desirable,Disagree
319,13363552675,Male,30-44,"Construction, Machinery, and Homes",Retail sales associate,,Middle Management,"$75,000-$99,999",New York,Very happy,Bachelor's Degree,"Single, never married",Very satisfied,About once a week,Always,Sometimes,Above average,Several times per week,Very desirable,Strongly agree
320,13363546242,Female,> 60,Healthcare & Pharmaceuticals,Laborer, Exercise instructor,Entry Level,"$25,000-$49,999",California,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Very dissatisfied,Less than once a month,Always,Never,Average,Several times per week,Somewhat desirable,Agree
321,13363545930,Female,45-60,Real Estate,Retail sales associate, Real Estate Agent,Middle Management,"$100,000-$124,999",New Jersey,Somewhat happy,Trade/Vocation School,Married or domestic partnership,Satisfied,About once a week,Sometimes,Sometimes,Above average,Several times per week,Somewhat desirable,Disagree
322,13363543778,Female,18-29,Government,Administrative assistant,,Intermediate,"$100,000-$124,999",Colorado,Very happy,Bachelor's Degree,Married or domestic partnership,Satisfied,About once a week,Usually,Never,Above average,Less than once per week,Not so desirable,Neither agree nor disagree
323,13363543686,Female,45-60,I am currently not employed,Customer service representative,,Middle Management,"$50,000-$74,999",California,Very unhappy,High School,Divorced,Very dissatisfied,Less than once a month,Rarely,Always,Above average,Every day of the week,Extremely desirable,Neither agree nor disagree
